names,01 IT-ET Glut,02 NP-CT-L6b Glut,03 OB-CR Glut,04 DG-IMN Glut,05 OB-IMN GABA,06 CTX-CGE GABA,07 CTX-MGE GABA,08 CNU-MGE GABA,09 CNU-LGE GABA,10 LSX GABA,11 CNU-HYa GABA,12 HY GABA,13 CNU-HYa Glut,14 HY Glut,15 HY Gnrh1 Glut,16 HY MM Glut,17 MH-LH Glut,18 TH Glut,19 MB Glut,20 MB GABA,21 MB Dopa,22 MB-HB Sero,23 P Glut,24 MY Glut,25 Pineal Glut,26 P GABA,27 MY GABA,28 CB GABA,29 CB Glut,30 Astro-Epen,31 OPC-Oligo,32 OEC,33 Vascular,34 Immune
Cbln4,1.9986701,-3.0372586,0.22427897,-6.18308,-6.3977556,-0.82826835,-0.6502734,0.24479932,-1.5342734,-0.68500304,1.005359,1.0205785,0.076548375,1.0209491,0.43682256,-2.655997,1.5027373,0.978214,1.1508657,1.3443264,1.5101409,3.1972907,0.953268,0.6018928,-1.7625151,0.9619068,0.41074187,-7.60617,-4.4927197,-4.3842673,-3.987361,-5.7462077,-4.241739,-3.9410536
Ccn2,-1.915058,3.492894,2.3114464,-6.6332393,-1.9342097,-1.7383978,-1.840025,-3.1376033,-4.039477,-2.492189,-3.4280102,-2.1902359,-2.6617303,-3.242013,-4.2632155,-7.310907,-4.452017,-1.6140419,-1.8101361,-3.2522378,-2.53253,-2.2011578,-1.6320561,-0.93170094,-24.86926,-2.8249407,-0.60389334,-2.9556384,-5.098006,-2.608239,-3.7975013,-2.2812405,4.0342126,-2.0424721
Cd24a,-1.0936337,0.46786848,2.339362,-0.6259986,2.4374375,1.7480611,-1.2883062,0.77634555,-1.6099998,1.4987677,0.8269206,1.2049937,-0.20307675,1.1090316,-5.045291,-3.221978,-1.3885168,-3.1747484,1.4337587,1.0708423,1.6475546,1.1644648,0.61261886,1.7155498,-1.9561657,-0.46463928,1.123374,-4.7734504,-4.959917,-0.29796588,-1.4426994,-0.8932861,-0.2018653,-2.353961
Cd300c2,-6.281477,-5.7304525,-4.9563084,-5.1407976,-5.8428,-5.7664247,-2.8182404,-6.3863153,-5.749358,-5.256804,-6.4344897,-6.89615,-6.2949295,-7.687129,-4.1184545,-9.669588,-6.7663274,-7.5222883,-7.463864,-7.414302,-6.105871,-5.3384886,-5.6753216,-7.53517,-2.5215783,-7.095797,-7.703649,-8.772762,-4.472411,-3.281973,-4.4529796,-3.9023337,-3.3461232,11.483448
Cd44,0.1371184,0.43174297,-2.1665943,-3.9690213,-3.5670023,-2.9666874,-0.35631558,-0.31081343,-2.5789263,-0.60788614,-0.04298867,-0.7132207,0.008541033,-0.05610915,-1.6197824,5.05145,-1.3913512,1.572095,-0.4732399,-1.9606713,1.9351832,-1.4247255,-0.51206934,-0.4410171,-2.587523,-1.3555214,-1.170414,-3.362775,-2.6270883,1.0315274,-0.26362377,0.9253079,-1.1423861,-0.118628606
Cd53,-4.9751062,-5.3024592,-4.8750863,-5.5932946,-5.2707243,-5.6327558,-5.191993,-3.992646,-4.947674,-4.8480983,-5.225513,-5.991502,-5.1087894,-5.5765796,-25.386179,-6.544021,-4.0298705,-6.6037226,-4.715382,-5.5831704,-4.93887,-4.201808,-4.493256,-5.8345494,-25.386293,-5.512059,-5.9984455,-7.3297806,-6.509304,-3.3311684,-4.3442626,-6.7012906,-3.2177033,11.35447
Cd68,-0.6381327,-0.50932384,-1.662916,-1.3337708,-2.1707087,-2.656786,-1.3637464,-2.4104269,0.92106795,-0.2649004,-0.4955711,-1.8767644,-1.211559,-2.3225353,-0.46422184,-3.089267,-4.2213063,-3.2111187,-2.2599552,-2.4281948,-3.2099135,-2.4680521,-2.8274422,-2.7347975,0.7796381,-2.939012,-2.8481517,-3.3688564,-3.357262,-1.7993554,-1.903196,-1.9585234,-1.7317233,6.166619
Cd93,-5.0509753,-4.1655226,-4.986254,-6.106028,-5.4274254,-4.676986,-5.384334,-4.7955422,-5.8370633,-4.6215196,-5.927679,-5.904525,-5.2969537,-4.80431,-24.664286,-6.7230916,-3.2891665,-6.201544,-5.3497434,-5.711362,-7.6553116,-4.2953396,-4.586813,-4.956552,-2.5502038,-4.6256123,-4.9189534,-8.794174,-6.173742,-3.268697,-4.611098,-24.664625,9.262591,0.019622546
Cdh13,0.042223483,-0.13195844,-0.07736059,0.14350836,-1.6717894,-0.010252847,1.6859733,1.6268789,0.6529871,1.4676628,1.3679737,1.4352518,1.5993425,1.534288,-3.117464,-1.0097657,-0.4916353,0.59394705,1.5148034,0.9459968,1.586909,2.2062411,0.671298,1.4273065,-3.732672,1.2099011,0.45877126,-2.764032,-1.5922588,-2.4908435,-0.5727843,-5.151655,-2.7279696,-4.1336493
Cdh20,-1.4918158,-4.7121124,-3.0079587,-5.547436,0.33388507,0.18275121,-2.0381002,-0.7106371,-5.495662,-2.2250593,-1.4788767,-1.9096043,-1.6338769,-1.5201933,-2.2265382,-2.4773993,-1.9243596,-1.8643299,-1.6871754,-1.443956,0.058576517,-3.8242486,-0.43348122,-1.2441349,-3.5259356,-0.39797738,-1.2950422,-1.1522499,-3.339852,3.1791878,3.7983642,1.0552884,-4.9331126,-4.811028
